encoder_input,decoder_input,decoder_output
"['<de>', 'Welcher', '▁Prozentsatz', '▁der', '▁Studenten', '▁wurde', '▁im', '[MASK]', 'bst', '▁2015', '[MASK]', '▁Notre', '▁Dame', '▁eing', '[MASK]', '[MASK]', '?', '▁', '[MASK]', '[MASK]', '▁steht', '▁Notre', '▁Dame', '[MASK]', '▁Bezug', '▁auf', '▁das', '▁ak', 'adem', '[MASK]', '▁Prof', 'il', '▁zwischen', '▁Forschung', 'sein', 'richt']","['<de>', 'Welcher', '▁Prozentsatz', '▁der', '▁Studenten', '▁wurde', '▁im', '▁Her', 'bst', '▁2015', '▁nach', '▁Notre', '▁Dame', '▁eing', 'elief', 'ert', '?', '▁', '</s>', 'Wo', '▁steht', '▁Notre', '▁Dame', '▁in', '▁Bezug', '▁auf', '▁das', '▁ak', 'adem', 'ische', '▁Prof', 'il', '▁zwischen', '▁Forschung', 'sein', 'richt']","['Welcher', '▁Prozentsatz', '▁der', '▁Studenten', '▁wurde', '▁im', '▁Her', 'bst', '▁2015', '▁nach', '▁Notre', '▁Dame', '▁eing', 'elief', 'ert', '?', '▁', '</s>', 'Wo', '▁steht', '▁Notre', '▁Dame', '▁in', '▁Bezug', '▁auf', '▁das', '▁ak', 'adem', 'ische', '▁Prof', 'il', '▁zwischen', '▁Forschung', 'sein', 'richt', '<', 'd', 'e', '>']"
"['<de>', 'Welches', '▁Album', '▁war', '▁d', 'unk', 'ler', '▁in', '▁Ton', '▁von', '▁ihrer', '▁vor', 'her', 'igen', '▁Ar', 'beit', '[MASK]', '▁', '</s>', 'Nach', '▁welchem', '[MASK]', '▁mit', '▁E', '[MASK]', '▁James', ',', '▁hat', '▁Beyonce', '▁Sasha', '▁he', 'f', 'tig', '▁erschaffen', '[MASK]', '▁']","['<de>', 'Welches', '▁Album', '▁war', '▁d', 'unk', 'ler', '▁in', '▁Ton', '▁von', '▁ihrer', '▁vor', 'her', 'igen', '▁Ar', 'beit', '?', '▁', '</s>', 'Nach', '▁welchem', '▁Film', '▁mit', '▁E', 'tta', '▁James', ',', '▁hat', '▁Beyonce', '▁Sasha', '▁he', 'f', 'tig', '▁erschaffen', '?', '▁']","['Welches', '▁Album', '▁war', '▁d', 'unk', 'ler', '▁in', '▁Ton', '▁von', '▁ihrer', '▁vor', 'her', 'igen', '▁Ar', 'beit', '?', '▁', '</s>', 'Nach', '▁welchem', '▁Film', '▁mit', '▁E', 'tta', '▁James', ',', '▁hat', '▁Beyonce', '▁Sasha', '▁he', 'f', 'tig', '▁erschaffen', '?', '▁', '<', 'd', 'e', '>']"
"['<de>', 'In', '▁welchen', '[MASK]', 'ere', 'ichen', '▁hat', '[MASK]', '▁gespielt', ',', '▁als', '▁sie', '[MASK]', '▁geworden', '▁ist', '?', '▁', '[MASK]', 'Wann', '▁hat', '[MASK]', '▁das', '▁Kind', '▁von', '▁Destiny', '▁verlassen', '▁und', '▁ein', '▁Solo', '-', 'Sänger', '▁werden', '?', '▁', '[MASK]', 'In']","['<de>', 'In', '▁welchen', '▁B', 'ere', 'ichen', '▁hat', '▁Beyonce', '▁gespielt', ',', '▁als', '▁sie', '▁groß', '▁geworden', '▁ist', '?', '▁', '</s>', 'Wann', '▁hat', '▁Beyonce', '▁das', '▁Kind', '▁von', '▁Destiny', '▁verlassen', '▁und', '▁ein', '▁Solo', '-', 'Sänger', '▁werden', '?', '▁', '</s>', 'In']","['In', '▁welchen', '▁B', 'ere', 'ichen', '▁hat', '▁Beyonce', '▁gespielt', ',', '▁als', '▁sie', '▁groß', '▁geworden', '▁ist', '?', '▁', '</s>', 'Wann', '▁hat', '▁Beyonce', '▁das', '▁Kind', '▁von', '▁Destiny', '▁verlassen', '▁und', '▁ein', '▁Solo', '-', 'Sänger', '▁werden', '?', '▁', '</s>', 'In', '<', 'd', 'e', '>']"
"['<de>', 'Was', '▁ist', '▁ein', '▁gemeins', 'amer', '▁Name', '[MASK]', '▁um', '▁das', '▁Wand', 'b', 'ild', '▁zu', '▁verwe', 'isen', '[MASK]', '▁das', '▁von', '▁Mill', 'ard', '-', 'B', 'ett', 'w', 'äs', 'che', '▁in', '▁Notre', '▁Dame', '▁erst', 'ellt', '▁wurde', '?', '▁', '</s>']","['<de>', 'Was', '▁ist', '▁ein', '▁gemeins', 'amer', '▁Name', ',', '▁um', '▁das', '▁Wand', 'b', 'ild', '▁zu', '▁verwe', 'isen', ',', '▁das', '▁von', '▁Mill', 'ard', '-', 'B', 'ett', 'w', 'äs', 'che', '▁in', '▁Notre', '▁Dame', '▁erst', 'ellt', '▁wurde', '?', '▁', '</s>']","['Was', '▁ist', '▁ein', '▁gemeins', 'amer', '▁Name', ',', '▁um', '▁das', '▁Wand', 'b', 'ild', '▁zu', '▁verwe', 'isen', ',', '▁das', '▁von', '▁Mill', 'ard', '-', 'B', 'ett', 'w', 'äs', 'che', '▁in', '▁Notre', '▁Dame', '▁erst', 'ellt', '▁wurde', '?', '▁', '</s>', '<', 'd', 'e', '>']"
"['<de>', 'K', 'athol', 'ische', '▁Menschen', ',', '▁die', '▁mit', '▁Notre', '▁Dame', '▁identif', 'iz', 'iert', '▁wurden', ',', '▁welche', '▁religi', 'öse', '▁Gruppe', '▁haben', '▁die', '▁Menschen', '▁in', '▁Yale', '▁ver', 'treten', '?', '▁', '</s>', 'Die', '▁Studenten', '▁von', '▁Notre', '▁Dame', '▁hatten', '▁einen']","['<de>', 'K', 'athol', 'ische', '▁Menschen', ',', '▁die', '▁mit', '▁Notre', '▁Dame', '▁identif', 'iz', 'iert', '▁wurden', ',', '▁welche', '▁religi', 'öse', '▁Gruppe', '▁haben', '▁die', '▁Menschen', '▁in', '▁Yale', '▁ver', 'treten', '?', '▁', '</s>', 'Die', '▁Studenten', '▁von', '▁Notre', '▁Dame', '▁hatten', '▁einen']","['K', 'athol', 'ische', '▁Menschen', ',', '▁die', '▁mit', '▁Notre', '▁Dame', '▁identif', 'iz', 'iert', '▁wurden', ',', '▁welche', '▁religi', 'öse', '▁Gruppe', '▁haben', '▁die', '▁Menschen', '▁in', '▁Yale', '▁ver', 'treten', '?', '▁', '</s>', 'Die', '▁Studenten', '▁von', '▁Notre', '▁Dame', '▁hatten', '▁einen', '<', 'd', 'e', '>']"
"['<de>', 'Was', '▁wurde', '▁im', '▁Jahr', '▁1962', '[MASK]', '[MASK]', '▁Dame', '▁geschaffen', ',', '▁um', '▁die', '▁Studenten', '▁des', '▁ersten', '▁Jahres', '▁zu', '▁unterst', 'ütz', 'en', '[MASK]', '▁', '</s>', '[MASK]', '▁Organisation', '▁hat', '▁das', '▁erste', '▁Jahr', '▁der', '▁Studien', '-', 'Pro', '[MASK]', '▁in']","['<de>', 'Was', '▁wurde', '▁im', '▁Jahr', '▁1962', '▁bei', '▁Notre', '▁Dame', '▁geschaffen', ',', '▁um', '▁die', '▁Studenten', '▁des', '▁ersten', '▁Jahres', '▁zu', '▁unterst', 'ütz', 'en', '?', '▁', '</s>', 'Welche', '▁Organisation', '▁hat', '▁das', '▁erste', '▁Jahr', '▁der', '▁Studien', '-', 'Pro', 'gramm', '▁in']","['Was', '▁wurde', '▁im', '▁Jahr', '▁1962', '▁bei', '▁Notre', '▁Dame', '▁geschaffen', ',', '▁um', '▁die', '▁Studenten', '▁des', '▁ersten', '▁Jahres', '▁zu', '▁unterst', 'ütz', 'en', '?', '▁', '</s>', 'Welche', '▁Organisation', '▁hat', '▁das', '▁erste', '▁Jahr', '▁der', '▁Studien', '-', 'Pro', 'gramm', '▁in', '<', 'd', 'e', '>']"
"['<de>', 'In', '[MASK]', '▁Jahr', '▁hat', '▁das', '▁Team', '▁von', '▁Knute', '▁Rockne', '▁die', '▁Rose', '▁Bowl', '▁gewonnen', '?', '[MASK]', '[MASK]', '[MASK]', '▁viele', '▁Jahre', '▁war', '▁Knute', '▁Rockne', '▁He', 'ad', '▁Co', 'ach', '▁bei', '▁Notre', '▁Dame', '?', '[MASK]', '[MASK]', '[MASK]', '▁viele', '▁nationale']","['<de>', 'In', '▁welchem', '▁Jahr', '▁hat', '▁das', '▁Team', '▁von', '▁Knute', '▁Rockne', '▁die', '▁Rose', '▁Bowl', '▁gewonnen', '?', '▁', '</s>', 'Wie', '▁viele', '▁Jahre', '▁war', '▁Knute', '▁Rockne', '▁He', 'ad', '▁Co', 'ach', '▁bei', '▁Notre', '▁Dame', '?', '▁', '</s>', 'Wie', '▁viele', '▁nationale']","['In', '▁welchem', '▁Jahr', '▁hat', '▁das', '▁Team', '▁von', '▁Knute', '▁Rockne', '▁die', '▁Rose', '▁Bowl', '▁gewonnen', '?', '▁', '</s>', 'Wie', '▁viele', '▁Jahre', '▁war', '▁Knute', '▁Rockne', '▁He', 'ad', '▁Co', 'ach', '▁bei', '▁Notre', '▁Dame', '?', '▁', '</s>', 'Wie', '▁viele', '▁nationale', '<', 'd', 'e', '>']"
"['<de>', '[MASK]', '▁Profess', 'ur', '▁hat', '▁Pater', '▁Josh', '▁Car', '[MASK]', '▁bei', '▁Notre', '▁Dame', '▁gehalten', '?', '▁', '</s>', 'In', '▁welchem', '▁Jahr', '▁hat', '[MASK]', '▁Zahm', '▁ange', 'f', 'angen', ',', '▁aeronatical', '-', 'M', 'od', 'elle', '▁in', '▁Notre', '▁Dame', '▁zu', '▁ver']","['<de>', 'Welche', '▁Profess', 'ur', '▁hat', '▁Pater', '▁Josh', '▁Car', 'rier', '▁bei', '▁Notre', '▁Dame', '▁gehalten', '?', '▁', '</s>', 'In', '▁welchem', '▁Jahr', '▁hat', '▁Albert', '▁Zahm', '▁ange', 'f', 'angen', ',', '▁aeronatical', '-', 'M', 'od', 'elle', '▁in', '▁Notre', '▁Dame', '▁zu', '▁ver']","['Welche', '▁Profess', 'ur', '▁hat', '▁Pater', '▁Josh', '▁Car', 'rier', '▁bei', '▁Notre', '▁Dame', '▁gehalten', '?', '▁', '</s>', 'In', '▁welchem', '▁Jahr', '▁hat', '▁Albert', '▁Zahm', '▁ange', 'f', 'angen', ',', '▁aeronatical', '-', 'M', 'od', 'elle', '▁in', '▁Notre', '▁Dame', '▁zu', '▁ver', '<', 'd', 'e', '>']"
"['<de>', 'Wer', '▁ist', '▁dafür', '▁verantwortlich', ',', '▁die', '▁Musik', '▁für', '▁""', 'Notre', '[MASK]', '▁Sie', 'g', '▁März', '[MASK]', '▁zu', '▁sch', 're', 'iben', '?', '▁', '</s>', 'In', '▁welchem', '▁Jahr', '▁wurde', '▁""', 'Notre', '[MASK]', '▁Sie', 'g', '▁März', '[MASK]', '▁ur', 'he']","['<de>', 'Wer', '▁ist', '▁dafür', '▁verantwortlich', ',', '▁die', '▁Musik', '▁für', '▁""', 'Notre', '▁Dame', '▁Sie', 'g', '▁März', '""', '▁zu', '▁sch', 're', 'iben', '?', '▁', '</s>', 'In', '▁welchem', '▁Jahr', '▁wurde', '▁""', 'Notre', '▁Dame', '▁Sie', 'g', '▁März', '""', '▁ur', 'he']","['Wer', '▁ist', '▁dafür', '▁verantwortlich', ',', '▁die', '▁Musik', '▁für', '▁""', 'Notre', '▁Dame', '▁Sie', 'g', '▁März', '""', '▁zu', '▁sch', 're', 'iben', '?', '▁', '</s>', 'In', '▁welchem', '▁Jahr', '▁wurde', '▁""', 'Notre', '▁Dame', '▁Sie', 'g', '▁März', '""', '▁ur', 'he', '<', 'd', 'e', '>']"
"['<de>', 'Wie', '▁viele', '▁BS', '[MASK]', 'Le', 'vel', '[MASK]', 'G', 'rad', '[MASK]', '▁am', '[MASK]', '▁of', '▁Engineering', '▁in', '▁Notre', '▁Dame', '▁angeboten', '?', '▁', '</s>', 'In', '▁welchem', '▁Jahr', '▁wurde', '▁das', '[MASK]', '▁of', '▁Engineering', '▁in', '▁Notre', '▁Dame', '▁gegründet', '?', '▁']","['<de>', 'Wie', '▁viele', '▁BS', '-', 'Le', 'vel', '-', 'G', 'rad', '▁werden', '▁am', '▁College', '▁of', '▁Engineering', '▁in', '▁Notre', '▁Dame', '▁angeboten', '?', '▁', '</s>', 'In', '▁welchem', '▁Jahr', '▁wurde', '▁das', '▁College', '▁of', '▁Engineering', '▁in', '▁Notre', '▁Dame', '▁gegründet', '?', '▁']","['Wie', '▁viele', '▁BS', '-', 'Le', 'vel', '-', 'G', 'rad', '▁werden', '▁am', '▁College', '▁of', '▁Engineering', '▁in', '▁Notre', '▁Dame', '▁angeboten', '?', '▁', '</s>', 'In', '▁welchem', '▁Jahr', '▁wurde', '▁das', '▁College', '▁of', '▁Engineering', '▁in', '▁Notre', '▁Dame', '▁gegründet', '?', '▁', '<', 'd', 'e', '>']"
