encoder_input,decoder_input,decoder_output
"['<es>', 'Cuántos', '▁dormi', 'tori', 'os', '▁para', '▁los', '▁ma', 'chos', '▁están', '[MASK]', '▁el', '▁campus', '▁de', '▁Notre', '▁Dame', '?', '▁', '</s>', 'Qué', '▁cantidad', '▁del', '▁cuerpo', '▁de', '▁estudiantes', '▁gradu', 'ado', '[MASK]', '▁notre', '▁dame', '[MASK]', '▁viv', 'o', '[MASK]', '▁el', '▁campus']","['<es>', 'Cuántos', '▁dormi', 'tori', 'os', '▁para', '▁los', '▁ma', 'chos', '▁están', '▁en', '▁el', '▁campus', '▁de', '▁Notre', '▁Dame', '?', '▁', '</s>', 'Qué', '▁cantidad', '▁del', '▁cuerpo', '▁de', '▁estudiantes', '▁gradu', 'ado', '▁en', '▁notre', '▁dame', '▁en', '▁viv', 'o', '▁en', '▁el', '▁campus']","['Cuántos', '▁dormi', 'tori', 'os', '▁para', '▁los', '▁ma', 'chos', '▁están', '▁en', '▁el', '▁campus', '▁de', '▁Notre', '▁Dame', '?', '▁', '</s>', 'Qué', '▁cantidad', '▁del', '▁cuerpo', '▁de', '▁estudiantes', '▁gradu', 'ado', '▁en', '▁notre', '▁dame', '▁en', '▁viv', 'o', '▁en', '▁el', '▁campus', '<', 'e', 's', '>']"
"['<es>', 'Cuántos', '▁de', 'parta', 'men', 'tos', '▁hay', '▁dentro', '▁del', '▁salón', '▁de', '▁ingeniería', '▁de', '▁st', '[MASK]', '-', 'Remick', '?', '[MASK]', '</s>', 'El', '▁colegio', '▁de', '▁ciencias', '▁comenzó', '[MASK]', '▁ofre', 'cer', '▁c', 'urs', 'os', '▁de', '▁ingeniería', '▁civil', '[MASK]', '▁partir']","['<es>', 'Cuántos', '▁de', 'parta', 'men', 'tos', '▁hay', '▁dentro', '▁del', '▁salón', '▁de', '▁ingeniería', '▁de', '▁st', 'inson', '-', 'Remick', '?', '▁', '</s>', 'El', '▁colegio', '▁de', '▁ciencias', '▁comenzó', '▁a', '▁ofre', 'cer', '▁c', 'urs', 'os', '▁de', '▁ingeniería', '▁civil', '▁a', '▁partir']","['Cuántos', '▁de', 'parta', 'men', 'tos', '▁hay', '▁dentro', '▁del', '▁salón', '▁de', '▁ingeniería', '▁de', '▁st', 'inson', '-', 'Remick', '?', '▁', '</s>', 'El', '▁colegio', '▁de', '▁ciencias', '▁comenzó', '▁a', '▁ofre', 'cer', '▁c', 'urs', 'os', '▁de', '▁ingeniería', '▁civil', '▁a', '▁partir', '<', 'e', 's', '>']"
"['<es>', 'Cuánto', '[MASK]', '▁se', '▁g', 'ast', 'ó', '▁en', '▁mejor', '[MASK]', '▁el', '▁estadio', '▁de', '▁notre', '▁dame', '▁bajo', '▁John', '▁Jenkins', '?', '▁', '</s>', 'Qué', '▁congregación', '▁está', '▁a', '▁cargo', '[MASK]', '▁viejo', '▁colegio', '▁en', '▁notre', '▁dame', '?', '▁', '</s>', 'Qué']","['<es>', 'Cuánto', '▁dinero', '▁se', '▁g', 'ast', 'ó', '▁en', '▁mejor', 'ar', '▁el', '▁estadio', '▁de', '▁notre', '▁dame', '▁bajo', '▁John', '▁Jenkins', '?', '▁', '</s>', 'Qué', '▁congregación', '▁está', '▁a', '▁cargo', '▁del', '▁viejo', '▁colegio', '▁en', '▁notre', '▁dame', '?', '▁', '</s>', 'Qué']","['Cuánto', '▁dinero', '▁se', '▁g', 'ast', 'ó', '▁en', '▁mejor', 'ar', '▁el', '▁estadio', '▁de', '▁notre', '▁dame', '▁bajo', '▁John', '▁Jenkins', '?', '▁', '</s>', 'Qué', '▁congregación', '▁está', '▁a', '▁cargo', '▁del', '▁viejo', '▁colegio', '▁en', '▁notre', '▁dame', '?', '▁', '</s>', 'Qué', '<', 'e', 's', '>']"
"['<es>', 'Cuántas', '▁millas', '▁hace', '▁el', '▁estudiante', '▁promedio', '▁en', '▁notre', '[MASK]', '▁para', '▁estudi', 'ar', '▁allí', '?', '▁', '</s>', 'Dónde', '▁fue', '▁el', '▁in', '[MASK]', '▁de', '▁los', '▁estados', '▁unidos', '▁y', '▁el', '▁in', '[MASK]', '▁mundial', '▁de', '▁notre', '[MASK]', '▁en', '▁sus']","['<es>', 'Cuántas', '▁millas', '▁hace', '▁el', '▁estudiante', '▁promedio', '▁en', '▁notre', '▁dame', '▁para', '▁estudi', 'ar', '▁allí', '?', '▁', '</s>', 'Dónde', '▁fue', '▁el', '▁in', 'forme', '▁de', '▁los', '▁estados', '▁unidos', '▁y', '▁el', '▁in', 'forme', '▁mundial', '▁de', '▁notre', '▁dame', '▁en', '▁sus']","['Cuántas', '▁millas', '▁hace', '▁el', '▁estudiante', '▁promedio', '▁en', '▁notre', '▁dame', '▁para', '▁estudi', 'ar', '▁allí', '?', '▁', '</s>', 'Dónde', '▁fue', '▁el', '▁in', 'forme', '▁de', '▁los', '▁estados', '▁unidos', '▁y', '▁el', '▁in', 'forme', '▁mundial', '▁de', '▁notre', '▁dame', '▁en', '▁sus', '<', 'e', 's', '>']"
"['<es>', 'En', '▁qué', '▁año', '▁fue', '▁el', '▁Joan', '[MASK]', '.', '▁el', '▁instituto', '▁kroc', '▁para', '▁estudios', '[MASK]', 'cionales', '▁de', '▁paz', '▁fundado', '?', '▁', '</s>', 'A', '▁quién', '▁fue', '[MASK]', '[MASK]', '.', '▁Kroc', '▁casado', '?', '▁', '</s>', 'Qué', '▁compañ', 'ía']","['<es>', 'En', '▁qué', '▁año', '▁fue', '▁el', '▁Joan', '▁B', '.', '▁el', '▁instituto', '▁kroc', '▁para', '▁estudios', '▁interna', 'cionales', '▁de', '▁paz', '▁fundado', '?', '▁', '</s>', 'A', '▁quién', '▁fue', '▁John', '▁B', '.', '▁Kroc', '▁casado', '?', '▁', '</s>', 'Qué', '▁compañ', 'ía']","['En', '▁qué', '▁año', '▁fue', '▁el', '▁Joan', '▁B', '.', '▁el', '▁instituto', '▁kroc', '▁para', '▁estudios', '▁interna', 'cionales', '▁de', '▁paz', '▁fundado', '?', '▁', '</s>', 'A', '▁quién', '▁fue', '▁John', '▁B', '.', '▁Kroc', '▁casado', '?', '▁', '</s>', 'Qué', '▁compañ', 'ía', '<', 'e', 's', '>']"
"['<es>', 'Qué', '▁álbum', '▁le', '▁hizo', '[MASK]', '▁artista', '▁mundial', 'mente', '▁conocido', '?', '▁', '[MASK]', 'Quién', '▁logró', '▁el', '▁grupo', '▁de', '▁niños', '▁del', '▁des', 't', 'ino', '?', '▁', '[MASK]', 'En', '▁qué', '▁ciudad', '▁creció', '▁Beyoncé', '?', '▁', '[MASK]', 'Cuál', '▁fue']","['<es>', 'Qué', '▁álbum', '▁le', '▁hizo', '▁un', '▁artista', '▁mundial', 'mente', '▁conocido', '?', '▁', '</s>', 'Quién', '▁logró', '▁el', '▁grupo', '▁de', '▁niños', '▁del', '▁des', 't', 'ino', '?', '▁', '</s>', 'En', '▁qué', '▁ciudad', '▁creció', '▁Beyoncé', '?', '▁', '</s>', 'Cuál', '▁fue']","['Qué', '▁álbum', '▁le', '▁hizo', '▁un', '▁artista', '▁mundial', 'mente', '▁conocido', '?', '▁', '</s>', 'Quién', '▁logró', '▁el', '▁grupo', '▁de', '▁niños', '▁del', '▁des', 't', 'ino', '?', '▁', '</s>', 'En', '▁qué', '▁ciudad', '▁creció', '▁Beyoncé', '?', '▁', '</s>', 'Cuál', '▁fue', '<', 'e', 's', '>']"
"['<es>', 'A', '▁qué', '▁conferencia', '▁se', '▁fueron', '▁los', '▁irlandeses', '[MASK]', '[MASK]', '▁tras', '▁el', '[MASK]', '▁ori', 'ente', '?', '▁', '[MASK]', 'Cuántos', '▁equipos', '[MASK]', '▁c', 'ada', '▁temporada', '▁ha', 'cen', '▁los', '▁irlandeses', '[MASK]', '[MASK]', '▁para', '▁jugar', '▁contra', '▁los', '▁o', 'pon']","['<es>', 'A', '▁qué', '▁conferencia', '▁se', '▁fueron', '▁los', '▁irlandeses', '▁de', '▁lucha', '▁tras', '▁el', '▁gran', '▁ori', 'ente', '?', '▁', '</s>', 'Cuántos', '▁equipos', '▁en', '▁c', 'ada', '▁temporada', '▁ha', 'cen', '▁los', '▁irlandeses', '▁de', '▁lucha', '▁para', '▁jugar', '▁contra', '▁los', '▁o', 'pon']","['A', '▁qué', '▁conferencia', '▁se', '▁fueron', '▁los', '▁irlandeses', '▁de', '▁lucha', '▁tras', '▁el', '▁gran', '▁ori', 'ente', '?', '▁', '</s>', 'Cuántos', '▁equipos', '▁en', '▁c', 'ada', '▁temporada', '▁ha', 'cen', '▁los', '▁irlandeses', '▁de', '▁lucha', '▁para', '▁jugar', '▁contra', '▁los', '▁o', 'pon', '<', 'e', 's', '>']"
"['<es>', 'Cuál', '▁es', '▁el', '▁nombre', '▁de', '▁la', '▁biblioteca', '▁principal', '▁en', '▁notre', '▁dame', '?', '▁', '[MASK]', 'En', '▁qué', '▁año', '▁fue', '▁el', '▁theodore', '▁m', '[MASK]', '▁la', '▁biblioteca', '[MASK]', '▁en', '▁notre', '▁dame', '▁termin', 'ada', '?', '▁', '[MASK]', 'Qué', '▁artista']","['<es>', 'Cuál', '▁es', '▁el', '▁nombre', '▁de', '▁la', '▁biblioteca', '▁principal', '▁en', '▁notre', '▁dame', '?', '▁', '</s>', 'En', '▁qué', '▁año', '▁fue', '▁el', '▁theodore', '▁m', '.', '▁la', '▁biblioteca', '▁hesburgh', '▁en', '▁notre', '▁dame', '▁termin', 'ada', '?', '▁', '</s>', 'Qué', '▁artista']","['Cuál', '▁es', '▁el', '▁nombre', '▁de', '▁la', '▁biblioteca', '▁principal', '▁en', '▁notre', '▁dame', '?', '▁', '</s>', 'En', '▁qué', '▁año', '▁fue', '▁el', '▁theodore', '▁m', '.', '▁la', '▁biblioteca', '▁hesburgh', '▁en', '▁notre', '▁dame', '▁termin', 'ada', '?', '▁', '</s>', 'Qué', '▁artista', '<', 'e', 's', '>']"
"['<es>', 'Qué', '▁individu', '[MASK]', '▁viven', '▁en', '▁la', '▁casa', '▁de', '▁F', 'á', 'tima', '▁en', '▁notre', '▁dame', '?', '▁', '[MASK]', 'Qué', '▁premio', '▁creó', '▁fre', '[MASK]', '▁b', 'uechner', '?', '▁', '[MASK]', 'Cuántos', '▁gra', '[MASK]', '▁de', '[MASK]', '▁de', '▁b', 's']","['<es>', 'Qué', '▁individu', 'os', '▁viven', '▁en', '▁la', '▁casa', '▁de', '▁F', 'á', 'tima', '▁en', '▁notre', '▁dame', '?', '▁', '</s>', 'Qué', '▁premio', '▁creó', '▁fre', 'derick', '▁b', 'uechner', '?', '▁', '</s>', 'Cuántos', '▁gra', 'dos', '▁de', '▁nivel', '▁de', '▁b', 's']","['Qué', '▁individu', 'os', '▁viven', '▁en', '▁la', '▁casa', '▁de', '▁F', 'á', 'tima', '▁en', '▁notre', '▁dame', '?', '▁', '</s>', 'Qué', '▁premio', '▁creó', '▁fre', 'derick', '▁b', 'uechner', '?', '▁', '</s>', 'Cuántos', '▁gra', 'dos', '▁de', '▁nivel', '▁de', '▁b', 's', '<', 'e', 's', '>']"
"['<es>', '[MASK]', '▁tipo', '▁de', '▁educación', '▁fue', '▁emp', 'u', 'j', 'ado', '▁en', '▁notre', '▁dame', '[MASK]', '▁de', '▁su', '▁ab', 'ra', 'zo', '▁a', '▁las', '[MASK]', 'mas', '▁nacionales', '?', '▁', '</s>', '[MASK]', '▁universidad', '▁ha', '▁hecho', '▁notre', '▁dame', '▁en', '▁1921?', '▁']","['<es>', 'Qué', '▁tipo', '▁de', '▁educación', '▁fue', '▁emp', 'u', 'j', 'ado', '▁en', '▁notre', '▁dame', '▁antes', '▁de', '▁su', '▁ab', 'ra', 'zo', '▁a', '▁las', '▁nor', 'mas', '▁nacionales', '?', '▁', '</s>', 'Qué', '▁universidad', '▁ha', '▁hecho', '▁notre', '▁dame', '▁en', '▁1921?', '▁']","['Qué', '▁tipo', '▁de', '▁educación', '▁fue', '▁emp', 'u', 'j', 'ado', '▁en', '▁notre', '▁dame', '▁antes', '▁de', '▁su', '▁ab', 'ra', 'zo', '▁a', '▁las', '▁nor', 'mas', '▁nacionales', '?', '▁', '</s>', 'Qué', '▁universidad', '▁ha', '▁hecho', '▁notre', '▁dame', '▁en', '▁1921?', '▁', '<', 'e', 's', '>']"
