source_with_translations
What is the seventh tallest mountain in North America?<ar>أمريكا الشمالية
"Which actor was the star of Titanic and was born in Los Angeles, California?<ar>تيتانيك*|*لوس أنجلوس*|*كاليفورنيا"
What year was the first book of the A Song of Ice and Fire series published?<ar>أغنية الجليد والنار
Who is the youngest current US governor?<ar>الولايات المتحدة
How long did it take to build the Lincoln Memorial?<ar>نصب لنكولن التذكاري
Has Bernie Sanders ever been president of the United States?<ar>بيرني ساندرز*|*الولايات المتحدة
Which actor was Stephenie Meyer's first choice to play Edward Cullen in the movie Twilight?<ar>ستيفاني ماير*|*إدورد كولن*|*الشفق
Which river is longer than the Mississippi River?<ar>نهر المسيسيبي
What is the latest US state to be admitted to the union that is not Hawaii?<ar>الولايات المتحدة*|*مملكة هاواي
What is the longest lake in the world?<ar>nan
Is Texas the largest state in US?<ar>تكساس*|*الولايات المتحدة
How many times have the Los Angeles Dodgers lost the World Series?<ar>لوس أنجلوس دودجرز*|*سلسلة العالم
Who was the president of Argentina from 1989 to 1999?<ar>الأرجنتين
"Who was a member of the 2004 U.S. Olympic men's swim team and born in Baltimore, Maryland?<ar>الولايات المتحدة*|*بالتيمور*|*ماريلند"
Have the Los Angeles Rams won a Super Bowl ring since moving back to Los Angeles?<ar>لوس أنجيليس رامز*|*سوبر بول*|*لوس أنجلوس
What governors of Ohio since 2000 have not been Republican?<ar>أوهايو
Did The Beatles release Rubber Soul before Revolver?<ar>البيتلز*|*روح مطاطية*|*ريفولفر
How many Pulitzer Prizes has Colson Whitehead won?<ar>كولسون وايتهيد
Did the movie Moana come out before 2015?<ar>موانا
"Which movie made more money, Joker or Suicide Squad (2016)?<ar>جوكر*|*الفرقة الانتحارية"
"Which movie was released first, Avengers: Endgame or Joker?<ar>المنتقمون: نهاية اللعبة*|*جوكر"
Was Friday the 13th released the same year as Halloween?<ar>يوم الجمعة الثالث عشر*|*عيد القديسين
Was Parasite released after 2015?<ar>طفيلي
Did Citizen Kane come out before 1950?<ar>المواطن كين
"Which movie had a higher lifetime gross, Jurassic World or The Lion King?<ar>الحديقة الجوراسية*|*nan"
"Which Netflix series has been watched more, Tiger King or The Queen's Gambit?<ar>نتفليكس*|*ملك النمر*|*مناورة الملكة"
"Which Netflix series has been watched more, Bridgerton or Tiger King?<ar>نتفليكس*|*بريدجيرتون*|*ملك النمر"
Did Hurt Locker or Avatar have the smaller budget?<ar>خزانة الألم*|*أفاتار
Did Searching came out the same year as Halloween?<ar>بحث*|*عيد القديسين
Did Inception have a bigger budget than Dunkirk?<ar>استهلال*|*دونكيرك
Was Train to Busan released the same year as John Wick 2?<ar>قطار بوسان*|*جون ويك 2
Do Michael Douglas and Catherine Zeta-Jones have the same birthday?<ar>مايكل كرايتون*|*كاثرين زيتا جونز
"Who has won more Academy Awards, Helen Mirren or Cate Blanchett?<ar>جائزة الأوسكار*|*هيلين ميرين*|*كيت بلانشيت"
"Which horror movie made more money at the US Box Office, The Happening (2008) or The Conjuring (2013)?<ar>الحدث*|*الشعوذة"
"Which actor is taller, The Rock or Terry Crews?<ar>دوين جونسون*|*تيري كروز"
Did the original Ocean's Eleven come out after 1965?<ar>أوشن 11
Were Pixar's Soul and Onward released in the same year?<ar>بيكسار*|*مغامرة ذاتية*|*أونورد (فيلم)
Did Tom Hanks get his first Academy Award nomination for Big or Sleepless in Seattle?<ar>توم هانكس*|*سياتل
Did Avengers: Endgame have a bigger budget than Avengers: Infinity War?<ar>المنتقمون: نهاية اللعبة*|*المنتقمون: الحرب اللانهائية
"Who is older, Anna Faris or Jennifer Aniston?<ar>آنا فاريس*|*جينيفر أنيستون"
Did Twilight come out before 1995?<ar>الشفق
Is Leonardo DiCaprio taller than Joseph Gordon-Levitt?<ar>ليوناردو دي كابريو*|*جوزيف غوردون-ليفيت
"Which movie had a bigger budget, The Wizard of Oz or Gone With The Wind?<ar>ساحر أوز العجيب"
Did Iron Man 2 come out before Avengers: Age of Ultron?<ar>آيرون مان 2*|*المنتقمون: عصر ألترون
Was The Godfather released after 1970?<ar>العراب
Were the box office earnings for The Wolf of Wall Street or Inception higher?<ar>ذئب وول ستريت*|*استهلال
Did Avengers or The Lion King have the highest budget in 2019?<ar>المنتقمون*|*nan
Did Avengers: Age of Ultron or Avengers: Endgame make more worldwide gross?<ar>المنتقمون: عصر ألترون*|*المنتقمون: نهاية اللعبة
"Which movie won more Academy Awards, Titanic or Slumdog Millionaire?<ar>جائزة الأوسكار*|*تيتانيك*|*متشرد مليونير"
Was The Twilight Saga: Eclipse released before The Twilight Saga: New Moon?<ar>ملحمة الشفق: خسوف*|*ملحمة الشفق: قمر جديد
