encoder_input,decoder_input,decoder_output
"['<ar>', 'ما', '▁هو', '▁المع', 'هد', '▁الاس', '[MASK]', '▁لج', 'ماعة', '▁الصليب', '▁المقدس', '?', '▁', '</s>', 'ما', '▁هو', '▁ا', 'قدم', '▁هيكل', '▁في', '▁نوتردام', '?', '▁', '</s>', 'ما', '▁هو', '▁الافر', 'اد', '▁الذين', '▁يعيشون', '▁في', '▁منزل', '▁ف', 'اط', 'مة', '▁في']","['<ar>', 'ما', '▁هو', '▁المع', 'هد', '▁الاس', 'اسي', '▁لج', 'ماعة', '▁الصليب', '▁المقدس', '?', '▁', '</s>', 'ما', '▁هو', '▁ا', 'قدم', '▁هيكل', '▁في', '▁نوتردام', '?', '▁', '</s>', 'ما', '▁هو', '▁الافر', 'اد', '▁الذين', '▁يعيشون', '▁في', '▁منزل', '▁ف', 'اط', 'مة', '▁في']","['ما', '▁هو', '▁المع', 'هد', '▁الاس', 'اسي', '▁لج', 'ماعة', '▁الصليب', '▁المقدس', '?', '▁', '</s>', 'ما', '▁هو', '▁ا', 'قدم', '▁هيكل', '▁في', '▁نوتردام', '?', '▁', '</s>', 'ما', '▁هو', '▁الافر', 'اد', '▁الذين', '▁يعيشون', '▁في', '▁منزل', '▁ف', 'اط', 'مة', '▁في', '<', 'a', 'r', '>']"
"['<ar>', 'كم', '▁عدد', '▁الكتب', '▁التي', '▁تم', '▁اسمها', '[MASK]', '▁مكتبة', '▁ثيودور', '▁hesburgh', '[MASK]', '▁', '</s>', 'الب', 'ناء', '▁لاي', '▁قاعة', '▁بدات', '[MASK]', '▁8', '▁ا', 'ذ', '[MASK]', '▁/', '▁مارس', '▁2007', '[MASK]', '▁نوتردام', '[MASK]', '▁', '</s>', 'اي', '▁ملعب', '[MASK]', 'يسبول']","['<ar>', 'كم', '▁عدد', '▁الكتب', '▁التي', '▁تم', '▁اسمها', '▁في', '▁مكتبة', '▁ثيودور', '▁hesburgh', '?', '▁', '</s>', 'الب', 'ناء', '▁لاي', '▁قاعة', '▁بدات', '▁في', '▁8', '▁ا', 'ذ', 'ار', '▁/', '▁مارس', '▁2007', '▁في', '▁نوتردام', '?', '▁', '</s>', 'اي', '▁ملعب', '▁ب', 'يسبول']","['كم', '▁عدد', '▁الكتب', '▁التي', '▁تم', '▁اسمها', '▁في', '▁مكتبة', '▁ثيودور', '▁hesburgh', '?', '▁', '</s>', 'الب', 'ناء', '▁لاي', '▁قاعة', '▁بدات', '▁في', '▁8', '▁ا', 'ذ', 'ار', '▁/', '▁مارس', '▁2007', '▁في', '▁نوتردام', '?', '▁', '</s>', 'اي', '▁ملعب', '▁ب', 'يسبول', '<', 'a', 'r', '>']"
"['<ar>', 'اي', '▁هيكل', '▁كان', '▁اول', '[MASK]', '▁يست', 'خدم', '[MASK]', '▁ا', '[MASK]', 'اض', '▁الكلية', '[MASK]', '▁', '[MASK]', 'في', '▁اي', '▁سنة', '[MASK]', '[MASK]', 'ليم', '▁الد', 'رجات', '▁الاول', 'ية', '[MASK]', '▁نوتردام', '[MASK]', '▁', '[MASK]', 'في', '▁اي', '▁سنة', '[MASK]', '▁است']","['<ar>', 'اي', '▁هيكل', '▁كان', '▁اول', '▁من', '▁يست', 'خدم', '▁في', '▁ا', 'غر', 'اض', '▁الكلية', '?', '▁', '</s>', 'في', '▁اي', '▁سنة', '▁تم', '▁تس', 'ليم', '▁الد', 'رجات', '▁الاول', 'ية', '▁في', '▁نوتردام', '?', '▁', '</s>', 'في', '▁اي', '▁سنة', '▁تم', '▁است']","['اي', '▁هيكل', '▁كان', '▁اول', '▁من', '▁يست', 'خدم', '▁في', '▁ا', 'غر', 'اض', '▁الكلية', '?', '▁', '</s>', 'في', '▁اي', '▁سنة', '▁تم', '▁تس', 'ليم', '▁الد', 'رجات', '▁الاول', 'ية', '▁في', '▁نوتردام', '?', '▁', '</s>', 'في', '▁اي', '▁سنة', '▁تم', '▁است', '<', 'a', 'r', '>']"
"['<ar>', 'خ', '[MASK]', '▁معهد', '▁در', 'اسة', '▁الحيوانات', '[MASK]', '▁ما', '[MASK]', '▁المع', 'هد', '[MASK]', 'خر', '[MASK]', '▁انش', 'اته', '▁ca', 'van', 'ugh', '▁في', '▁نوتردام', '?', '[MASK]', '</s>', 'ماذا', '▁كان', '[MASK]', '[MASK]', '▁hesburgh', '?', '[MASK]', '</s>', 'في', '▁الوقت', '[MASK]']","['<ar>', 'خ', 'ارج', '▁معهد', '▁در', 'اسة', '▁الحيوانات', ',', '▁ما', '▁هو', '▁المع', 'هد', '▁الا', 'خر', '▁الذي', '▁انش', 'اته', '▁ca', 'van', 'ugh', '▁في', '▁نوتردام', '?', '▁', '</s>', 'ماذا', '▁كان', '▁عمر', '▁ثيودور', '▁hesburgh', '?', '▁', '</s>', 'في', '▁الوقت', '▁الذي']","['خ', 'ارج', '▁معهد', '▁در', 'اسة', '▁الحيوانات', ',', '▁ما', '▁هو', '▁المع', 'هد', '▁الا', 'خر', '▁الذي', '▁انش', 'اته', '▁ca', 'van', 'ugh', '▁في', '▁نوتردام', '?', '▁', '</s>', 'ماذا', '▁كان', '▁عمر', '▁ثيودور', '▁hesburgh', '?', '▁', '</s>', 'في', '▁الوقت', '▁الذي', '<', 'a', 'r', '>']"
"['<ar>', '[MASK]', '▁تن', 'افس', '[MASK]', '▁الهوكي', '▁الايرلندي', '▁القتال', '▁قبل', '▁الانت', '[MASK]', '▁الى', '▁الهوكي', '▁الشرقي', ',', '▁من', '[MASK]', '▁المؤ', 'تمر', '?', '[MASK]', '</s>', 'ما', '▁هي', '[MASK]', 'وان', '▁الرسمية', '▁التي', '▁استخ', 'د', 'متها', '▁مسابقة', '▁نوتردام', '▁في', '▁الري', 'اضة']","['<ar>', 'اين', '▁تن', 'افس', '▁فريق', '▁الهوكي', '▁الايرلندي', '▁القتال', '▁قبل', '▁الانت', 'قال', '▁الى', '▁الهوكي', '▁الشرقي', ',', '▁من', '▁حيث', '▁المؤ', 'تمر', '?', '▁', '</s>', 'ما', '▁هي', '▁الال', 'وان', '▁الرسمية', '▁التي', '▁استخ', 'د', 'متها', '▁مسابقة', '▁نوتردام', '▁في', '▁الري', 'اضة']","['اين', '▁تن', 'افس', '▁فريق', '▁الهوكي', '▁الايرلندي', '▁القتال', '▁قبل', '▁الانت', 'قال', '▁الى', '▁الهوكي', '▁الشرقي', ',', '▁من', '▁حيث', '▁المؤ', 'تمر', '?', '▁', '</s>', 'ما', '▁هي', '▁الال', 'وان', '▁الرسمية', '▁التي', '▁استخ', 'د', 'متها', '▁مسابقة', '▁نوتردام', '▁في', '▁الري', 'اضة', '<', 'a', 'r', '>']"
"['<ar>', 'ما', '▁هو', '▁الكيان', '▁الذي', '▁يقدم', '▁المس', 'اعدة', '▁في', '▁اد', 'ارة', '▁الوقت', '▁للطلاب', '▁الج', 'دد', '▁في', '▁نوتردام', '?', '▁', '</s>', 'كم', '▁عدد', '▁الك', '[MASK]', '▁للطلاب', '▁في', '▁نوتردام', '?', '▁', '</s>', 'ما', '▁الذي', '▁تم', '▁انش', 'اؤه', '▁في']","['<ar>', 'ما', '▁هو', '▁الكيان', '▁الذي', '▁يقدم', '▁المس', 'اعدة', '▁في', '▁اد', 'ارة', '▁الوقت', '▁للطلاب', '▁الج', 'دد', '▁في', '▁نوتردام', '?', '▁', '</s>', 'كم', '▁عدد', '▁الك', 'ليات', '▁للطلاب', '▁في', '▁نوتردام', '?', '▁', '</s>', 'ما', '▁الذي', '▁تم', '▁انش', 'اؤه', '▁في']","['ما', '▁هو', '▁الكيان', '▁الذي', '▁يقدم', '▁المس', 'اعدة', '▁في', '▁اد', 'ارة', '▁الوقت', '▁للطلاب', '▁الج', 'دد', '▁في', '▁نوتردام', '?', '▁', '</s>', 'كم', '▁عدد', '▁الك', 'ليات', '▁للطلاب', '▁في', '▁نوتردام', '?', '▁', '</s>', 'ما', '▁الذي', '▁تم', '▁انش', 'اؤه', '▁في', '<', 'a', 'r', '>']"
"['<ar>', 'هن', 'اك', '▁كم', '▁عدد', '▁مساك', 'ن', '▁ال', 'انا', 'ث', '▁في', '▁نوتردام', '?', '▁', '</s>', 'ما', '▁هي', '[MASK]', 'ماعة', '▁الصليب', '▁المقدس', '▁باللغة', '▁اللاتينية', '?', '▁', '</s>', 'ما', '▁هي', '▁نسبة', '▁طلاب', '▁نوتردام', '[MASK]', '▁يش', 'عر', 'ون', '▁ان']","['<ar>', 'هن', 'اك', '▁كم', '▁عدد', '▁مساك', 'ن', '▁ال', 'انا', 'ث', '▁في', '▁نوتردام', '?', '▁', '</s>', 'ما', '▁هي', '▁ج', 'ماعة', '▁الصليب', '▁المقدس', '▁باللغة', '▁اللاتينية', '?', '▁', '</s>', 'ما', '▁هي', '▁نسبة', '▁طلاب', '▁نوتردام', '▁الذين', '▁يش', 'عر', 'ون', '▁ان']","['هن', 'اك', '▁كم', '▁عدد', '▁مساك', 'ن', '▁ال', 'انا', 'ث', '▁في', '▁نوتردام', '?', '▁', '</s>', 'ما', '▁هي', '▁ج', 'ماعة', '▁الصليب', '▁المقدس', '▁باللغة', '▁اللاتينية', '?', '▁', '</s>', 'ما', '▁هي', '▁نسبة', '▁طلاب', '▁نوتردام', '▁الذين', '▁يش', 'عر', 'ون', '▁ان', '<', 'a', 'r', '>']"
"['<ar>', 'متى', '▁تم', '▁اط', 'لاق', '▁سر', 'اح', '▁بيونسي', '▁بشكل', '▁خط', 'ير', '▁في', '▁الح', 'ب', '?', '[MASK]', '</s>', 'كم', '▁عدد', '▁جوائز', '▁غرامي', '▁التي', '▁ربحت', 'ها', '▁بيونسي', '▁لاول', '[MASK]', '▁من', 'فرد', '▁لها', '?', '[MASK]', '</s>', 'ما', '▁هو', '▁دور']","['<ar>', 'متى', '▁تم', '▁اط', 'لاق', '▁سر', 'اح', '▁بيونسي', '▁بشكل', '▁خط', 'ير', '▁في', '▁الح', 'ب', '?', '▁', '</s>', 'كم', '▁عدد', '▁جوائز', '▁غرامي', '▁التي', '▁ربحت', 'ها', '▁بيونسي', '▁لاول', '▁البوم', '▁من', 'فرد', '▁لها', '?', '▁', '</s>', 'ما', '▁هو', '▁دور']","['متى', '▁تم', '▁اط', 'لاق', '▁سر', 'اح', '▁بيونسي', '▁بشكل', '▁خط', 'ير', '▁في', '▁الح', 'ب', '?', '▁', '</s>', 'كم', '▁عدد', '▁جوائز', '▁غرامي', '▁التي', '▁ربحت', 'ها', '▁بيونسي', '▁لاول', '▁البوم', '▁من', 'فرد', '▁لها', '?', '▁', '</s>', 'ما', '▁هو', '▁دور', '<', 'a', 'r', '>']"
"['<ar>', 'في', '▁اي', '[MASK]', '▁حصلت', '[MASK]', '▁الفنون', '▁والرسائل', '▁في', '[MASK]', '▁على', '▁درجة', '▁اولى', '?', '▁', '</s>', 'على', '▁اي', '▁جامعة', '▁قامت', '[MASK]', '[MASK]', 'اه', 'جها', '▁الدر', '[MASK]', '?', '▁', '</s>', 'كم', '[MASK]', '▁الت', 'خصص', 'ات', '▁التي', '▁تو']","['<ar>', 'في', '▁اي', '▁سنة', '▁حصلت', '▁كلية', '▁الفنون', '▁والرسائل', '▁في', '▁نوتردام', '▁على', '▁درجة', '▁اولى', '?', '▁', '</s>', 'على', '▁اي', '▁جامعة', '▁قامت', '▁نوتردام', '▁بمن', 'اه', 'جها', '▁الدر', 'اسية', '?', '▁', '</s>', 'كم', '▁عدد', '▁الت', 'خصص', 'ات', '▁التي', '▁تو']","['في', '▁اي', '▁سنة', '▁حصلت', '▁كلية', '▁الفنون', '▁والرسائل', '▁في', '▁نوتردام', '▁على', '▁درجة', '▁اولى', '?', '▁', '</s>', 'على', '▁اي', '▁جامعة', '▁قامت', '▁نوتردام', '▁بمن', 'اه', 'جها', '▁الدر', 'اسية', '?', '▁', '</s>', 'كم', '▁عدد', '▁الت', 'خصص', 'ات', '▁التي', '▁تو', '<', 'a', 'r', '>']"
"['<ar>', 'في', '▁اي', '▁سنة', '▁كان', '▁معدل', '▁الزمن', '[MASK]', '▁في', '▁اكثر', '▁100', '▁شخص', '▁ت', '[MASK]', 'يرا', '▁في', '▁العالم', '?', '[MASK]', '</s>', 'كم', '▁عدد', '▁ال', 'ارق', 'ام', '▁القياسية', '▁التي', '▁باع', 'تها', '▁(', 'بيونسيه', ')', '▁في', '▁عمر', 'ها', '▁19']","['<ar>', 'في', '▁اي', '▁سنة', '▁كان', '▁معدل', '▁الزمن', '▁بيونسيه', '▁في', '▁اكثر', '▁100', '▁شخص', '▁ت', 'اث', 'يرا', '▁في', '▁العالم', '?', '▁', '</s>', 'كم', '▁عدد', '▁ال', 'ارق', 'ام', '▁القياسية', '▁التي', '▁باع', 'تها', '▁(', 'بيونسيه', ')', '▁في', '▁عمر', 'ها', '▁19']","['في', '▁اي', '▁سنة', '▁كان', '▁معدل', '▁الزمن', '▁بيونسيه', '▁في', '▁اكثر', '▁100', '▁شخص', '▁ت', 'اث', 'يرا', '▁في', '▁العالم', '?', '▁', '</s>', 'كم', '▁عدد', '▁ال', 'ارق', 'ام', '▁القياسية', '▁التي', '▁باع', 'تها', '▁(', 'بيونسيه', ')', '▁في', '▁عمر', 'ها', '▁19', '<', 'a', 'r', '>']"
