encoder_input,decoder_input,decoder_output
"['<fr>', '[MASK]', '▁persone', '▁hanno', '▁detto', '▁Wei', '▁H', 'ong', '[MASK]', '[MASK]', '▁morte', '▁o', '▁man', 'c', 'anti', '?', '▁', '[MASK]', '[MASK]', '▁case', '▁sono', '▁state', '▁ricostruite', '?', '▁', '[MASK]', '[MASK]', '▁case', '[MASK]', '▁ancora', '▁in', '▁costruzione', '?', '▁', '[MASK]', 'Chi']","['<fr>', 'Quante', '▁persone', '▁hanno', '▁detto', '▁Wei', '▁H', 'ong', '▁che', '▁erano', '▁morte', '▁o', '▁man', 'c', 'anti', '?', '▁', '</s>', 'Quante', '▁case', '▁sono', '▁state', '▁ricostruite', '?', '▁', '</s>', 'Quante', '▁case', '▁erano', '▁ancora', '▁in', '▁costruzione', '?', '▁', '</s>', 'Chi']","['Quante', '▁persone', '▁hanno', '▁detto', '▁Wei', '▁H', 'ong', '▁che', '▁erano', '▁morte', '▁o', '▁man', 'c', 'anti', '?', '▁', '</s>', 'Quante', '▁case', '▁sono', '▁state', '▁ricostruite', '?', '▁', '</s>', 'Quante', '▁case', '▁erano', '▁ancora', '▁in', '▁costruzione', '?', '▁', '</s>', 'Chi', '<', 'f', 'r', '>']"
"['<fr>', 'Quante', '▁truppe', '▁cinesi', '▁sono', '▁state', '▁coinvol', 'te', '▁negli', '▁sforzi', '[MASK]', '[MASK]', '?', '▁', '</s>', 'Quando', '▁sono', '▁arriva', 'ti', '▁in', '▁Cina', '▁grup', 'pi', '▁proven', 'ien', 'ti', '▁dalla', '▁Corea', '▁del', '▁Sud', ',', '▁dal', '▁Giappone', '▁e', '▁da', '▁altri']","['<fr>', 'Quante', '▁truppe', '▁cinesi', '▁sono', '▁state', '▁coinvol', 'te', '▁negli', '▁sforzi', '▁di', '▁salvataggio', '?', '▁', '</s>', 'Quando', '▁sono', '▁arriva', 'ti', '▁in', '▁Cina', '▁grup', 'pi', '▁proven', 'ien', 'ti', '▁dalla', '▁Corea', '▁del', '▁Sud', ',', '▁dal', '▁Giappone', '▁e', '▁da', '▁altri']","['Quante', '▁truppe', '▁cinesi', '▁sono', '▁state', '▁coinvol', 'te', '▁negli', '▁sforzi', '▁di', '▁salvataggio', '?', '▁', '</s>', 'Quando', '▁sono', '▁arriva', 'ti', '▁in', '▁Cina', '▁grup', 'pi', '▁proven', 'ien', 'ti', '▁dalla', '▁Corea', '▁del', '▁Sud', ',', '▁dal', '▁Giappone', '▁e', '▁da', '▁altri', '<', 'f', 'r', '>']"
"['<fr>', 'Quanto', '▁tempo', '▁ci', '▁è', '▁vol', 'uto', '▁per', '▁ri', 'p', 'rist', 'ina', 're', '▁qu', 'este', '▁cap', 'ac', 'ità', '?', '▁', '</s>', 'Cosa', '▁è', '▁stato', '[MASK]', 'to', '▁dopo', '[MASK]', '▁terremoto', '?', '▁', '</s>', 'Quali', '▁serv', 'izi', '▁internet']","['<fr>', 'Quanto', '▁tempo', '▁ci', '▁è', '▁vol', 'uto', '▁per', '▁ri', 'p', 'rist', 'ina', 're', '▁qu', 'este', '▁cap', 'ac', 'ità', '?', '▁', '</s>', 'Cosa', '▁è', '▁stato', '▁taglia', 'to', '▁dopo', '▁il', '▁terremoto', '?', '▁', '</s>', 'Quali', '▁serv', 'izi', '▁internet']","['Quanto', '▁tempo', '▁ci', '▁è', '▁vol', 'uto', '▁per', '▁ri', 'p', 'rist', 'ina', 're', '▁qu', 'este', '▁cap', 'ac', 'ità', '?', '▁', '</s>', 'Cosa', '▁è', '▁stato', '▁taglia', 'to', '▁dopo', '▁il', '▁terremoto', '?', '▁', '</s>', 'Quali', '▁serv', 'izi', '▁internet', '<', 'f', 'r', '>']"
"['<fr>', '[MASK]', '▁cosa', '▁c', ""'"", '▁era', '▁il', '▁ba', 'ck', 'ground', '▁di', '▁Premier', '▁Wen', '[MASK]', 'ia', 'ba', 'o', '?', '▁', '</s>', 'Che', '▁cosa', '▁ha', '▁super', 'vis', 'ion', 'ato', '[MASK]', 'ia', 'ba', 'o', '▁nella', '▁regione', '?', '▁', '</s>']","['<fr>', 'In', '▁cosa', '▁c', ""'"", '▁era', '▁il', '▁ba', 'ck', 'ground', '▁di', '▁Premier', '▁Wen', '▁J', 'ia', 'ba', 'o', '?', '▁', '</s>', 'Che', '▁cosa', '▁ha', '▁super', 'vis', 'ion', 'ato', '▁J', 'ia', 'ba', 'o', '▁nella', '▁regione', '?', '▁', '</s>']","['In', '▁cosa', '▁c', ""'"", '▁era', '▁il', '▁ba', 'ck', 'ground', '▁di', '▁Premier', '▁Wen', '▁J', 'ia', 'ba', 'o', '?', '▁', '</s>', 'Che', '▁cosa', '▁ha', '▁super', 'vis', 'ion', 'ato', '▁J', 'ia', 'ba', 'o', '▁nella', '▁regione', '?', '▁', '</s>', '<', 'f', 'r', '>']"
"['<fr>', 'Per', '▁quanto', '▁tempo', '▁sono', '▁stati', '▁evacu', 'ati', '▁i', '▁la', 'vor', 'atori', '▁di', '▁Ford', '▁P', 'l', 'ant', '?', '▁', '[MASK]', 'Quale', '▁aeroporto', '▁è', '▁stato', '▁chi', 'uso', '?', '▁', '[MASK]', 'Quando', '▁è', '▁stato', '▁ri', 'ap', 'erto', '▁l']","['<fr>', 'Per', '▁quanto', '▁tempo', '▁sono', '▁stati', '▁evacu', 'ati', '▁i', '▁la', 'vor', 'atori', '▁di', '▁Ford', '▁P', 'l', 'ant', '?', '▁', '</s>', 'Quale', '▁aeroporto', '▁è', '▁stato', '▁chi', 'uso', '?', '▁', '</s>', 'Quando', '▁è', '▁stato', '▁ri', 'ap', 'erto', '▁l']","['Per', '▁quanto', '▁tempo', '▁sono', '▁stati', '▁evacu', 'ati', '▁i', '▁la', 'vor', 'atori', '▁di', '▁Ford', '▁P', 'l', 'ant', '?', '▁', '</s>', 'Quale', '▁aeroporto', '▁è', '▁stato', '▁chi', 'uso', '?', '▁', '</s>', 'Quando', '▁è', '▁stato', '▁ri', 'ap', 'erto', '▁l', '<', 'f', 'r', '>']"
"['<fr>', 'Dov', '[MASK]', '▁era', '▁il', '▁terremoto', '[MASK]', '▁30', '▁agosto', '▁2008?', '▁', '</s>', 'Qual', '▁era', '[MASK]', '▁grande', 'zza', '[MASK]', '▁terremoto', '[MASK]', '▁Sichuan', '[MASK]', '?', '▁', '</s>', 'Chi', '▁ha', '▁pubblicato', '[MASK]', '▁ma', 'ppa', '▁dell', '[MASK]', '▁intens', 'ità', '▁dei']","['<fr>', 'Dov', ""'"", '▁era', '▁il', '▁terremoto', '▁del', '▁30', '▁agosto', '▁2008?', '▁', '</s>', 'Qual', '▁era', '▁la', '▁grande', 'zza', '▁del', '▁terremoto', '▁del', '▁Sichuan', '▁meridionale', '?', '▁', '</s>', 'Chi', '▁ha', '▁pubblicato', '▁la', '▁ma', 'ppa', '▁dell', ""'"", '▁intens', 'ità', '▁dei']","['Dov', ""'"", '▁era', '▁il', '▁terremoto', '▁del', '▁30', '▁agosto', '▁2008?', '▁', '</s>', 'Qual', '▁era', '▁la', '▁grande', 'zza', '▁del', '▁terremoto', '▁del', '▁Sichuan', '▁meridionale', '?', '▁', '</s>', 'Chi', '▁ha', '▁pubblicato', '▁la', '▁ma', 'ppa', '▁dell', ""'"", '▁intens', 'ità', '▁dei', '<', 'f', 'r', '>']"
"['<fr>', '[MASK]', 'esta', '[MASK]', '▁stata', '▁la', '▁più', '[MASK]', '▁man', 'if', 'esta', 'zione', '▁di', '▁lutto', '▁dalla', '[MASK]', '▁di', '▁chi', '?', '▁', '</s>', 'Quando', '▁i', '▁cinesi', '▁hanno', '[MASK]', '▁un', '▁momento', '▁di', '▁silenzio', '?', '▁', '</s>', 'Quanto', '▁tempo', '[MASK]']","['<fr>', 'Qu', 'esta', '▁è', '▁stata', '▁la', '▁più', '▁grande', '▁man', 'if', 'esta', 'zione', '▁di', '▁lutto', '▁dalla', '▁morte', '▁di', '▁chi', '?', '▁', '</s>', 'Quando', '▁i', '▁cinesi', '▁hanno', '▁avuto', '▁un', '▁momento', '▁di', '▁silenzio', '?', '▁', '</s>', 'Quanto', '▁tempo', '▁è']","['Qu', 'esta', '▁è', '▁stata', '▁la', '▁più', '▁grande', '▁man', 'if', 'esta', 'zione', '▁di', '▁lutto', '▁dalla', '▁morte', '▁di', '▁chi', '?', '▁', '</s>', 'Quando', '▁i', '▁cinesi', '▁hanno', '▁avuto', '▁un', '▁momento', '▁di', '▁silenzio', '?', '▁', '</s>', 'Quanto', '▁tempo', '▁è', '<', 'f', 'r', '>']"
"['<fr>', 'Quanto', '▁ha', '▁donato', '▁Jack', 'ie', '▁Chan', '▁per', '▁sos', 'ten', 'ere', '?', '[MASK]', '</s>', 'Qual', '▁era', '▁il', '▁programma', '▁che', '▁C', 'C', 'TV', '-1', '▁ha', '▁ospitato', '?', '[MASK]', '</s>', 'Quali', '▁sono', '▁state', '▁le', '▁donazioni', '[MASK]', 'tali', '▁per']","['<fr>', 'Quanto', '▁ha', '▁donato', '▁Jack', 'ie', '▁Chan', '▁per', '▁sos', 'ten', 'ere', '?', '▁', '</s>', 'Qual', '▁era', '▁il', '▁programma', '▁che', '▁C', 'C', 'TV', '-1', '▁ha', '▁ospitato', '?', '▁', '</s>', 'Quali', '▁sono', '▁state', '▁le', '▁donazioni', '▁to', 'tali', '▁per']","['Quanto', '▁ha', '▁donato', '▁Jack', 'ie', '▁Chan', '▁per', '▁sos', 'ten', 'ere', '?', '▁', '</s>', 'Qual', '▁era', '▁il', '▁programma', '▁che', '▁C', 'C', 'TV', '-1', '▁ha', '▁ospitato', '?', '▁', '</s>', 'Quali', '▁sono', '▁state', '▁le', '▁donazioni', '▁to', 'tali', '▁per', '<', 'f', 'r', '>']"
"['<fr>', 'Che', '▁cosa', '[MASK]', 'va', '▁essere', '▁evacu', 'ato', '▁a', '▁causa', '▁di', '▁un', '▁poten', '[MASK]', '[MASK]', '[MASK]', 'amento', '?', '▁', '</s>', '[MASK]', '▁si', '[MASK]', '▁il', '▁lago', '▁più', '▁pre', 'ca', 'rio', '?', '▁', '</s>', 'Quali', '▁macchine', '▁sono', '▁state']","['<fr>', 'Che', '▁cosa', '▁dove', 'va', '▁essere', '▁evacu', 'ato', '▁a', '▁causa', '▁di', '▁un', '▁poten', 'ziale', '▁alla', 'g', 'amento', '?', '▁', '</s>', 'Dove', '▁si', '▁trovava', '▁il', '▁lago', '▁più', '▁pre', 'ca', 'rio', '?', '▁', '</s>', 'Quali', '▁macchine', '▁sono', '▁state']","['Che', '▁cosa', '▁dove', 'va', '▁essere', '▁evacu', 'ato', '▁a', '▁causa', '▁di', '▁un', '▁poten', 'ziale', '▁alla', 'g', 'amento', '?', '▁', '</s>', 'Dove', '▁si', '▁trovava', '▁il', '▁lago', '▁più', '▁pre', 'ca', 'rio', '?', '▁', '</s>', 'Quali', '▁macchine', '▁sono', '▁state', '<', 'f', 'r', '>']"
"['<fr>', 'Che', '▁cosa', '▁ha', '▁causato', '▁le', '▁lunghe', '[MASK]', 'ine', 'e', '▁nella', '▁maggior', '[MASK]', '[MASK]', '▁grandi', '▁città', '?', '▁', '</s>', 'Quali', '▁sono', '▁state', '▁le', '▁pre', 'm', 'esse', '▁cinesi', '[MASK]', '▁ra', 'cco', 'gli', 'ere', '▁donazioni', '?', '▁', '</s>']","['<fr>', 'Che', '▁cosa', '▁ha', '▁causato', '▁le', '▁lunghe', '▁l', 'ine', 'e', '▁nella', '▁maggior', '▁parte', '▁delle', '▁grandi', '▁città', '?', '▁', '</s>', 'Quali', '▁sono', '▁state', '▁le', '▁pre', 'm', 'esse', '▁cinesi', '▁per', '▁ra', 'cco', 'gli', 'ere', '▁donazioni', '?', '▁', '</s>']","['Che', '▁cosa', '▁ha', '▁causato', '▁le', '▁lunghe', '▁l', 'ine', 'e', '▁nella', '▁maggior', '▁parte', '▁delle', '▁grandi', '▁città', '?', '▁', '</s>', 'Quali', '▁sono', '▁state', '▁le', '▁pre', 'm', 'esse', '▁cinesi', '▁per', '▁ra', 'cco', 'gli', 'ere', '▁donazioni', '?', '▁', '</s>', '<', 'f', 'r', '>']"
