encoder_input,decoder_input,decoder_output
"['<ja>', '最', '盛', '期', 'に', '4', '00', '人', '以上の', '正', '社', '員', '[MASK]', '抱', 'えた', '虫', 'プロダクションの', '[MASK]', 'となった', '手塚', 'プロダク', 'ション', 'では', '、', '何人の', 'スタ', 'ッ', 'フ', 'から', '始まった', '?', '▁', '[MASK]', 'アニメ', '作品', '1']","['<ja>', '最', '盛', '期', 'に', '4', '00', '人', '以上の', '正', '社', '員', 'を', '抱', 'えた', '虫', 'プロダクションの', '元', 'となった', '手塚', 'プロダク', 'ション', 'では', '、', '何人の', 'スタ', 'ッ', 'フ', 'から', '始まった', '?', '▁', '</s>', 'アニメ', '作品', '1']","['最', '盛', '期', 'に', '4', '00', '人', '以上の', '正', '社', '員', 'を', '抱', 'えた', '虫', 'プロダクションの', '元', 'となった', '手塚', 'プロダク', 'ション', 'では', '、', '何人の', 'スタ', 'ッ', 'フ', 'から', '始まった', '?', '▁', '</s>', 'アニメ', '作品', '1', '<', 'j', 'a', '>']"
"['<ja>', 'アクロン', 'はどの州', 'に位置している', 'の', '?', '▁', '</s>', '2010', '年国勢', '[MASK]', '、', 'アクロンの', '人口', 'は何人ですか', '。', '▁', '</s>', '2010', '年国勢', '調査', 'を', '基', '準', 'に', '、', 'アクロン', '、', '[MASK]', 'バス', '、', 'クリーブランド', 'のうち', '、', '人口', '[MASK]']","['<ja>', 'アクロン', 'はどの州', 'に位置している', 'の', '?', '▁', '</s>', '2010', '年国勢', '調査によると', '、', 'アクロンの', '人口', 'は何人ですか', '。', '▁', '</s>', '2010', '年国勢', '調査', 'を', '基', '準', 'に', '、', 'アクロン', '、', 'コロン', 'バス', '、', 'クリーブランド', 'のうち', '、', '人口', 'が一番少ない']","['アクロン', 'はどの州', 'に位置している', 'の', '?', '▁', '</s>', '2010', '年国勢', '調査によると', '、', 'アクロンの', '人口', 'は何人ですか', '。', '▁', '</s>', '2010', '年国勢', '調査', 'を', '基', '準', 'に', '、', 'アクロン', '、', 'コロン', 'バス', '、', 'クリーブランド', 'のうち', '、', '人口', 'が一番少ない', '<', 'j', 'a', '>']"
"['<ja>', 'クウェート', '暫定政府', 'に対する', '[MASK]', '発', '的な', '抵', '抗', 'が', '続いた', 'のは', '、', '誰', 'の', '影響', 'でしたか', '?', '▁', '</s>', '暫定政府', 'について', '非', '合', '法', 'である', 'との', '[MASK]', 'えを', '表明', 'したのは', '、', 'どの国の', '大統領', '[MASK]', '?']","['<ja>', 'クウェート', '暫定政府', 'に対する', '散', '発', '的な', '抵', '抗', 'が', '続いた', 'のは', '、', '誰', 'の', '影響', 'でしたか', '?', '▁', '</s>', '暫定政府', 'について', '非', '合', '法', 'である', 'との', '考', 'えを', '表明', 'したのは', '、', 'どの国の', '大統領', 'か', '?']","['クウェート', '暫定政府', 'に対する', '散', '発', '的な', '抵', '抗', 'が', '続いた', 'のは', '、', '誰', 'の', '影響', 'でしたか', '?', '▁', '</s>', '暫定政府', 'について', '非', '合', '法', 'である', 'との', '考', 'えを', '表明', 'したのは', '、', 'どの国の', '大統領', 'か', '?', '<', 'j', 'a', '>']"
"['<ja>', '『', 'バンビ', '[MASK]', '白雪姫', '[MASK]', 'ピ', 'ノ', 'キ', 'オ', '』', 'の中で', '、', '最も', '早く', '米国で', '公開された', '映画は何', '?', '▁', '[MASK]', '幼', '少', '期', 'から', 'ディズニー', '映画を', '愛', '好', 'していた', '手塚は', '自ら', 'を何', 'と', '称', 'したか']","['<ja>', '『', 'バンビ', '』『', '白雪姫', '』『', 'ピ', 'ノ', 'キ', 'オ', '』', 'の中で', '、', '最も', '早く', '米国で', '公開された', '映画は何', '?', '▁', '</s>', '幼', '少', '期', 'から', 'ディズニー', '映画を', '愛', '好', 'していた', '手塚は', '自ら', 'を何', 'と', '称', 'したか']","['『', 'バンビ', '』『', '白雪姫', '』『', 'ピ', 'ノ', 'キ', 'オ', '』', 'の中で', '、', '最も', '早く', '米国で', '公開された', '映画は何', '?', '▁', '</s>', '幼', '少', '期', 'から', 'ディズニー', '映画を', '愛', '好', 'していた', '手塚は', '自ら', 'を何', 'と', '称', 'したか', '<', 'j', 'a', '>']"
"['<ja>', 'カフカと', 'ドーラ', '・', 'ディア', 'マ', '[MASK]', 'との', '出会', 'い', 'はいつでしたか', '?', '▁', '[MASK]', 'カフカが', 'ドーラ', '・', 'ディア', 'マ', '[MASK]', 'と', '出会った', '当初', '、', '[MASK]', 'は何歳でしたか', '?', '▁', '[MASK]', '[MASK]', 'が亡くなった', 'のはいつでしたか', '?', '▁', '[MASK]', '『']","['<ja>', 'カフカと', 'ドーラ', '・', 'ディア', 'マ', 'ント', 'との', '出会', 'い', 'はいつでしたか', '?', '▁', '</s>', 'カフカが', 'ドーラ', '・', 'ディア', 'マ', 'ント', 'と', '出会った', '当初', '、', '彼女', 'は何歳でしたか', '?', '▁', '</s>', 'カフカ', 'が亡くなった', 'のはいつでしたか', '?', '▁', '</s>', '『']","['カフカと', 'ドーラ', '・', 'ディア', 'マ', 'ント', 'との', '出会', 'い', 'はいつでしたか', '?', '▁', '</s>', 'カフカが', 'ドーラ', '・', 'ディア', 'マ', 'ント', 'と', '出会った', '当初', '、', '彼女', 'は何歳でしたか', '?', '▁', '</s>', 'カフカ', 'が亡くなった', 'のはいつでしたか', '?', '▁', '</s>', '『', '<', 'j', 'a', '>']"
"['<ja>', '手塚の', '[MASK]', 'SF', '[MASK]', '最後に', '[MASK]', 'ものは何', '[MASK]', '▁', '</s>', '1950', '年に', '手塚が', '漫画', '化', 'した', '、『', 'ファ', 'ウ', 'スト', '』', '[MASK]', '[MASK]', 'の作者', 'は誰か', '分', 'か', 'りますか', '[MASK]', '▁', '</s>', '手塚', '自身', 'は', '[MASK]']","['<ja>', '手塚の', '初期の', 'SF', '三部作で', '最後に', '描かれた', 'ものは何', '?', '▁', '</s>', '1950', '年に', '手塚が', '漫画', '化', 'した', '、『', 'ファ', 'ウ', 'スト', '』', 'という', '作品', 'の作者', 'は誰か', '分', 'か', 'りますか', '?', '▁', '</s>', '手塚', '自身', 'は', '、']","['手塚の', '初期の', 'SF', '三部作で', '最後に', '描かれた', 'ものは何', '?', '▁', '</s>', '1950', '年に', '手塚が', '漫画', '化', 'した', '、『', 'ファ', 'ウ', 'スト', '』', 'という', '作品', 'の作者', 'は誰か', '分', 'か', 'りますか', '?', '▁', '</s>', '手塚', '自身', 'は', '、', '<', 'j', 'a', '>']"
"['<ja>', 'チェ', '[MASK]', 'ラ', 'ウ', 'での', '8', '[MASK]', '月', '間の', '療', '養', '生活', 'は何', 'の作品', 'に反', '映', '[MASK]', '?', '▁', '</s>', 'カフカが', 'プラハ', 'に戻', '[MASK]', '患', 'った', '[MASK]', '行', '[MASK]', '病', 'と', 'は何だった', 'の', '?', '▁']","['<ja>', 'チェ', 'ー', 'ラ', 'ウ', 'での', '8', 'ヶ', '月', '間の', '療', '養', '生活', 'は何', 'の作品', 'に反', '映', 'されましたか', '?', '▁', '</s>', 'カフカが', 'プラハ', 'に戻', 'って', '患', 'った', '流', '行', 'り', '病', 'と', 'は何だった', 'の', '?', '▁']","['チェ', 'ー', 'ラ', 'ウ', 'での', '8', 'ヶ', '月', '間の', '療', '養', '生活', 'は何', 'の作品', 'に反', '映', 'されましたか', '?', '▁', '</s>', 'カフカが', 'プラハ', 'に戻', 'って', '患', 'った', '流', '行', 'り', '病', 'と', 'は何だった', 'の', '?', '▁', '<', 'j', 'a', '>']"
"['<ja>', '手塚', '[MASK]', '[MASK]', 'ル', 'ス', '胃癌', 'で亡くなった', 'が', '[MASK]', '本人', 'に告', '知', 'された', 'なかったのは', 'な', 'ぜ', 'か', '?', '▁', '</s>', '平成', '元年', 'が始まったのは', '[MASK]', '何年ですか', '?', '▁', '</s>', '手塚の', '遺', '作', 'の一つで', '[MASK]', '主要な', '人物が']","['<ja>', '手塚', 'はス', 'キ', 'ル', 'ス', '胃癌', 'で亡くなった', 'が', '、', '本人', 'に告', '知', 'された', 'なかったのは', 'な', 'ぜ', 'か', '?', '▁', '</s>', '平成', '元年', 'が始まったのは', '西暦', '何年ですか', '?', '▁', '</s>', '手塚の', '遺', '作', 'の一つで', '、', '主要な', '人物が']","['手塚', 'はス', 'キ', 'ル', 'ス', '胃癌', 'で亡くなった', 'が', '、', '本人', 'に告', '知', 'された', 'なかったのは', 'な', 'ぜ', 'か', '?', '▁', '</s>', '平成', '元年', 'が始まったのは', '西暦', '何年ですか', '?', '▁', '</s>', '手塚の', '遺', '作', 'の一つで', '、', '主要な', '人物が', '<', 'j', 'a', '>']"
"['<ja>', '国際連合', '安', '全保障', '理', '事', '会', 'で', '決議', '661', 'が', '採', '択', 'されたのは', '、', 'いつのこと', '?', '▁', '</s>', '決議', '661', 'の', '採', '択', 'を通', 'して', '、', 'イラクの', 'クウェート', '占領', 'に対する', '[MASK]', '感', 'を', '示', 'したのは']","['<ja>', '国際連合', '安', '全保障', '理', '事', '会', 'で', '決議', '661', 'が', '採', '択', 'されたのは', '、', 'いつのこと', '?', '▁', '</s>', '決議', '661', 'の', '採', '択', 'を通', 'して', '、', 'イラクの', 'クウェート', '占領', 'に対する', '反', '感', 'を', '示', 'したのは']","['国際連合', '安', '全保障', '理', '事', '会', 'で', '決議', '661', 'が', '採', '択', 'されたのは', '、', 'いつのこと', '?', '▁', '</s>', '決議', '661', 'の', '採', '択', 'を通', 'して', '、', 'イラクの', 'クウェート', '占領', 'に対する', '反', '感', 'を', '示', 'したのは', '<', 'j', 'a', '>']"
"['<ja>', '『', 'マ', 'ア', 'チャ', 'ンの', '日記', '帳', '』', '[MASK]', '[MASK]', '期間', 'はいつから', 'いつ', 'まで', '[MASK]', '▁', '</s>', '『', '新', '寶', '島', '』', '[MASK]', '漫画', 'を', '合', '[MASK]', 'しよう', 'と', '手塚', '[MASK]', '掛', 'けた', '人物は', '[MASK]']","['<ja>', '『', 'マ', 'ア', 'チャ', 'ンの', '日記', '帳', '』', 'の', '連載', '期間', 'はいつから', 'いつ', 'まで', '?', '▁', '</s>', '『', '新', '寶', '島', '』', 'の', '漫画', 'を', '合', '作', 'しよう', 'と', '手塚', 'に持ち', '掛', 'けた', '人物は', '?']","['『', 'マ', 'ア', 'チャ', 'ンの', '日記', '帳', '』', 'の', '連載', '期間', 'はいつから', 'いつ', 'まで', '?', '▁', '</s>', '『', '新', '寶', '島', '』', 'の', '漫画', 'を', '合', '作', 'しよう', 'と', '手塚', 'に持ち', '掛', 'けた', '人物は', '?', '<', 'j', 'a', '>']"
