encoder_input,decoder_input,decoder_output
"['<en>', 'Which', '▁entity', '▁did', '▁Notre', '▁Dame', '▁h', 'ire', '▁to', '▁bu', 'ild', '▁a', '▁par', 'king', '▁structure', '▁ou', '[MASK]', 'ide', '▁of', '▁Eddy', '▁Street', '▁Commons', '?', '▁', '</s>', 'There', '▁were', '▁pro', 'teste', '[MASK]', '▁as', '▁a', '▁part', '▁of', '▁the', '▁construction']","['<en>', 'Which', '▁entity', '▁did', '▁Notre', '▁Dame', '▁h', 'ire', '▁to', '▁bu', 'ild', '▁a', '▁par', 'king', '▁structure', '▁ou', 'ts', 'ide', '▁of', '▁Eddy', '▁Street', '▁Commons', '?', '▁', '</s>', 'There', '▁were', '▁pro', 'teste', 'd', '▁as', '▁a', '▁part', '▁of', '▁the', '▁construction']","['Which', '▁entity', '▁did', '▁Notre', '▁Dame', '▁h', 'ire', '▁to', '▁bu', 'ild', '▁a', '▁par', 'king', '▁structure', '▁ou', 'ts', 'ide', '▁of', '▁Eddy', '▁Street', '▁Commons', '?', '▁', '</s>', 'There', '▁were', '▁pro', 'teste', 'd', '▁as', '▁a', '▁part', '▁of', '▁the', '▁construction', '<', 'e', 'n', '>']"
"['<en>', 'How', '▁many', '▁de', 'part', 'ments', '▁are', '▁with', 'in', '▁the', '▁Stinson', '-', 'Remick', '▁Hall', '▁of', '[MASK]', '?', '▁', '[MASK]', 'The', '▁College', '▁of', '▁Science', '▁beg', 'an', '▁to', '[MASK]', '▁civil', '▁en', 'g', 'ineering', '▁cour', 'ses', '▁beginn', 'ing', '[MASK]']","['<en>', 'How', '▁many', '▁de', 'part', 'ments', '▁are', '▁with', 'in', '▁the', '▁Stinson', '-', 'Remick', '▁Hall', '▁of', '▁Engineering', '?', '▁', '</s>', 'The', '▁College', '▁of', '▁Science', '▁beg', 'an', '▁to', '▁offer', '▁civil', '▁en', 'g', 'ineering', '▁cour', 'ses', '▁beginn', 'ing', '▁at']","['How', '▁many', '▁de', 'part', 'ments', '▁are', '▁with', 'in', '▁the', '▁Stinson', '-', 'Remick', '▁Hall', '▁of', '▁Engineering', '?', '▁', '</s>', 'The', '▁College', '▁of', '▁Science', '▁beg', 'an', '▁to', '▁offer', '▁civil', '▁en', 'g', 'ineering', '▁cour', 'ses', '▁beginn', 'ing', '▁at', '<', 'e', 'n', '>']"
"['<en>', '[MASK]', '▁Malloy', '▁re', '[MASK]', 'che', 'd', '▁the', '[MASK]', '▁of', '▁his', '▁time', '▁as', '▁president', '▁how', '▁much', '▁ann', 'u', 'als', '[MASK]', 'ing', '▁for', '▁research', '▁did', '▁Notre', '[MASK]', '▁have', '?', '▁', '</s>', 'The', '▁amount', '▁of', '▁profess', 'ors', '▁at']","['<en>', 'When', '▁Malloy', '▁re', 'a', 'che', 'd', '▁the', '▁end', '▁of', '▁his', '▁time', '▁as', '▁president', '▁how', '▁much', '▁ann', 'u', 'als', '▁fund', 'ing', '▁for', '▁research', '▁did', '▁Notre', '▁Dame', '▁have', '?', '▁', '</s>', 'The', '▁amount', '▁of', '▁profess', 'ors', '▁at']","['When', '▁Malloy', '▁re', 'a', 'che', 'd', '▁the', '▁end', '▁of', '▁his', '▁time', '▁as', '▁president', '▁how', '▁much', '▁ann', 'u', 'als', '▁fund', 'ing', '▁for', '▁research', '▁did', '▁Notre', '▁Dame', '▁have', '?', '▁', '</s>', 'The', '▁amount', '▁of', '▁profess', 'ors', '▁at', '<', 'e', 'n', '>']"
"['<en>', 'How', '▁many', '▁books', '▁are', '▁h', 'eld', '▁by', '▁the', '▁Notre', '▁Dame', '▁lib', '[MASK]', '[MASK]', '?', '▁', '</s>', 'C', 'urrent', 'ly', '▁where', '▁does', '▁Notre', '▁Dame', ""'"", 's', '▁library', '▁rank', '▁in', '▁the', '▁nation', '?', '▁', '</s>', 'What', '▁caus']","['<en>', 'How', '▁many', '▁books', '▁are', '▁h', 'eld', '▁by', '▁the', '▁Notre', '▁Dame', '▁lib', 'ra', 'ries', '?', '▁', '</s>', 'C', 'urrent', 'ly', '▁where', '▁does', '▁Notre', '▁Dame', ""'"", 's', '▁library', '▁rank', '▁in', '▁the', '▁nation', '?', '▁', '</s>', 'What', '▁caus']","['How', '▁many', '▁books', '▁are', '▁h', 'eld', '▁by', '▁the', '▁Notre', '▁Dame', '▁lib', 'ra', 'ries', '?', '▁', '</s>', 'C', 'urrent', 'ly', '▁where', '▁does', '▁Notre', '▁Dame', ""'"", 's', '▁library', '▁rank', '▁in', '▁the', '▁nation', '?', '▁', '</s>', 'What', '▁caus', '<', 'e', 'n', '>']"
"['<en>', 'The', '▁amount', '▁of', '▁profess', 'ors', '▁at', '[MASK]', '▁Dame', '▁inc', 'reas', '[MASK]', '▁by', '▁what', '▁amount', '▁under', '▁Malloy', '?', '▁', '</s>', 'When', '▁did', '▁John', '▁Jenkins', '▁become', '▁the', '▁president', '▁of', '[MASK]', '▁Dame', '?', '▁', '</s>', 'In', '▁terms', '▁of']","['<en>', 'The', '▁amount', '▁of', '▁profess', 'ors', '▁at', '▁Notre', '▁Dame', '▁inc', 'reas', 'ed', '▁by', '▁what', '▁amount', '▁under', '▁Malloy', '?', '▁', '</s>', 'When', '▁did', '▁John', '▁Jenkins', '▁become', '▁the', '▁president', '▁of', '▁Notre', '▁Dame', '?', '▁', '</s>', 'In', '▁terms', '▁of']","['The', '▁amount', '▁of', '▁profess', 'ors', '▁at', '▁Notre', '▁Dame', '▁inc', 'reas', 'ed', '▁by', '▁what', '▁amount', '▁under', '▁Malloy', '?', '▁', '</s>', 'When', '▁did', '▁John', '▁Jenkins', '▁become', '▁the', '▁president', '▁of', '▁Notre', '▁Dame', '?', '▁', '</s>', 'In', '▁terms', '▁of', '<', 'e', 'n', '>']"
"['<en>', 'What', '▁comp', 'any', '▁did', '▁Ray', '▁Kroc', '▁o', 'wn', '?', '▁', '[MASK]', 'How', '▁many', '▁stori', 'es', '▁', 'tall', '[MASK]', '▁the', '▁main', '▁library', '▁at', '▁Notre', '▁Dame', '?', '▁', '[MASK]', 'What', '[MASK]', '▁the', '▁name', '▁of', '▁the', '▁main', '▁library']","['<en>', 'What', '▁comp', 'any', '▁did', '▁Ray', '▁Kroc', '▁o', 'wn', '?', '▁', '</s>', 'How', '▁many', '▁stori', 'es', '▁', 'tall', '▁is', '▁the', '▁main', '▁library', '▁at', '▁Notre', '▁Dame', '?', '▁', '</s>', 'What', '▁is', '▁the', '▁name', '▁of', '▁the', '▁main', '▁library']","['What', '▁comp', 'any', '▁did', '▁Ray', '▁Kroc', '▁o', 'wn', '?', '▁', '</s>', 'How', '▁many', '▁stori', 'es', '▁', 'tall', '▁is', '▁the', '▁main', '▁library', '▁at', '▁Notre', '▁Dame', '?', '▁', '</s>', 'What', '▁is', '▁the', '▁name', '▁of', '▁the', '▁main', '▁library', '<', 'e', 'n', '>']"
"['<en>', 'When', '▁did', '▁Destiny', ""'"", 's', '▁Child', '▁end', '▁their', '▁group', '[MASK]', '?', '▁', '</s>', 'What', '▁was', '▁the', '▁name', '▁of', '▁Beyoncé', ""'"", 's', '▁second', '[MASK]', '▁album', '?', '▁', '</s>', 'What', '▁was', '▁Beyoncé', ""'"", 's', '▁first', '[MASK]', '[MASK]']","['<en>', 'When', '▁did', '▁Destiny', ""'"", 's', '▁Child', '▁end', '▁their', '▁group', '▁act', '?', '▁', '</s>', 'What', '▁was', '▁the', '▁name', '▁of', '▁Beyoncé', ""'"", 's', '▁second', '▁solo', '▁album', '?', '▁', '</s>', 'What', '▁was', '▁Beyoncé', ""'"", 's', '▁first', '▁act', 'ing']","['When', '▁did', '▁Destiny', ""'"", 's', '▁Child', '▁end', '▁their', '▁group', '▁act', '?', '▁', '</s>', 'What', '▁was', '▁the', '▁name', '▁of', '▁Beyoncé', ""'"", 's', '▁second', '▁solo', '▁album', '?', '▁', '</s>', 'What', '▁was', '▁Beyoncé', ""'"", 's', '▁first', '▁act', 'ing', '<', 'e', 'n', '>']"
"['<en>', 'Which', '▁college', '▁did', '▁Notre', '[MASK]', '▁ad', 'd', '[MASK]', '▁1921?', '▁', '[MASK]', 'In', '[MASK]', '▁a', '▁new', '▁president', '▁of', '▁Notre', '[MASK]', '▁was', '▁named', ',', '▁who', '▁was', '▁it', '?', '▁', '[MASK]', 'O', 'ver', '▁how', '▁many', '▁years', '▁did', '▁the']","['<en>', 'Which', '▁college', '▁did', '▁Notre', '▁Dame', '▁ad', 'd', '▁in', '▁1921?', '▁', '</s>', 'In', '▁1919', '▁a', '▁new', '▁president', '▁of', '▁Notre', '▁Dame', '▁was', '▁named', ',', '▁who', '▁was', '▁it', '?', '▁', '</s>', 'O', 'ver', '▁how', '▁many', '▁years', '▁did', '▁the']","['Which', '▁college', '▁did', '▁Notre', '▁Dame', '▁ad', 'd', '▁in', '▁1921?', '▁', '</s>', 'In', '▁1919', '▁a', '▁new', '▁president', '▁of', '▁Notre', '▁Dame', '▁was', '▁named', ',', '▁who', '▁was', '▁it', '?', '▁', '</s>', 'O', 'ver', '▁how', '▁many', '▁years', '▁did', '▁the', '<', 'e', 'n', '>']"
"['<en>', 'What', '▁is', '▁the', '▁o', 'ld', 'est', '▁structure', '▁at', '▁Notre', '▁Dame', '?', '▁', '</s>', 'What', '▁individu', 'als', '▁live', '▁at', '▁Fa', '[MASK]', '▁House', '▁at', '▁Notre', '▁Dame', '?', '▁', '</s>', 'Which', '▁prize', '▁did', '▁Fre', 'derick', '▁B', 'uechner', '▁create']","['<en>', 'What', '▁is', '▁the', '▁o', 'ld', 'est', '▁structure', '▁at', '▁Notre', '▁Dame', '?', '▁', '</s>', 'What', '▁individu', 'als', '▁live', '▁at', '▁Fa', 'tima', '▁House', '▁at', '▁Notre', '▁Dame', '?', '▁', '</s>', 'Which', '▁prize', '▁did', '▁Fre', 'derick', '▁B', 'uechner', '▁create']","['What', '▁is', '▁the', '▁o', 'ld', 'est', '▁structure', '▁at', '▁Notre', '▁Dame', '?', '▁', '</s>', 'What', '▁individu', 'als', '▁live', '▁at', '▁Fa', 'tima', '▁House', '▁at', '▁Notre', '▁Dame', '?', '▁', '</s>', 'Which', '▁prize', '▁did', '▁Fre', 'derick', '▁B', 'uechner', '▁create', '<', 'e', 'n', '>']"
"['<en>', 'Where', '▁did', '▁U', '.', 'S', '.', '[MASK]', '▁&', '▁World', '▁Re', 'port', '▁rank', '[MASK]', '[MASK]', '▁in', '▁its', '[MASK]', '▁university', '▁rank', 'ings', '[MASK]', '[MASK]', '</s>', 'Forbes', '.', 'com', '▁pla', 'ced', '[MASK]', '[MASK]', '[MASK]', '▁what', '▁position', '▁compare', 'd']","['<en>', 'Where', '▁did', '▁U', '.', 'S', '.', '▁News', '▁&', '▁World', '▁Re', 'port', '▁rank', '▁Notre', '▁Dame', '▁in', '▁its', '▁2015-2016', '▁university', '▁rank', 'ings', '?', '▁', '</s>', 'Forbes', '.', 'com', '▁pla', 'ced', '▁Notre', '▁Dame', '▁at', '▁what', '▁position', '▁compare', 'd']","['Where', '▁did', '▁U', '.', 'S', '.', '▁News', '▁&', '▁World', '▁Re', 'port', '▁rank', '▁Notre', '▁Dame', '▁in', '▁its', '▁2015-2016', '▁university', '▁rank', 'ings', '?', '▁', '</s>', 'Forbes', '.', 'com', '▁pla', 'ced', '▁Notre', '▁Dame', '▁at', '▁what', '▁position', '▁compare', 'd', '<', 'e', 'n', '>']"
